"StationCode","County","CALWNUM","PSARegion","PSA9c_1987","PSA6c","PSA9c","PSA10c","Eco_III_1987","Eco_III_2010","New_Lat","New_Long","ELEV_RANGE","BDH_AVE","PPT_00_09","LPREM_mean","KFCT_AVE","TEMP_00_09","P_MEAN","N_MEAN","PRMH_AVE","AREA_SQKM","SITE_ELEV","MgO_Mean","S_Mean","SumAve_P","CaO_Mean","FlowStatus","Ag_2000_1K","Ag_2000_5K","Ag_2000_WS","CODE_21_2000_1K","CODE_21_2000_5K","CODE_21_2000_WS","URBAN_2000_1K","URBAN_2000_5K","URBAN_2000_WS","RoadDens_1K","RoadDens_5K","RoadDens_WS","PAVED_INT_1K","PAVED_INT_5K","PAVED_INT_WS","PerManMade_WS","InvDamDist","MINES_5K","MINES_WS","GravelMineDensL_R5K","MaxOfCOND","MaxOfW1_HALL","BPJ_Nonref","Active","UCS_Mean","AtmCa","AtmMg","AtmSO4","MINP_WS","MEANP_WS","TMAX_WS","XWD_WS","MAXWD_WS","LST32AVE","PCT_CENOZ","PCT_NOSED","PCT_QUART","PCT_SEDIM","PCT_VOLCNC","MAFLOWU","MAX_ELEV","NHD_SO","FinalCaty5","final_wgt5","LogWSA","Invasives","W1_Hall_screening","CondQR01","CondQR50","CondQR99","CondQR99c","Sampled","SiteStatus","RefStrata","StressStrata","DevelopmentSet","SiteSet"
"105PS0067","Siskiyou",1105.240407,"North_Coast","NC","NC","NC","NC",78,78,41.13924896,-123.1393688,1271.780029,1.4472,84629.60156,-0.8316,0.1583,1928.699951,0.0606,0.1521,2.9408,33.948987,693.2199707,9.6755,0.0613,4746.0947,4.1738,"Perennial",0,0,0,8.9314,3.275,3.0355,0,0,0,1.797540466,0.927080282,0.590682959,0,0,0,0,0,0,0,0,494,0.704727273,FALSE,TRUE,102.6092,0.0316,0.011,0.1298,8.3,1090.4546,296.1,93.9429,12.4667,143.5849,0,0,0,100,0,31.24638,1965,3,NA,NA,1.53082681994572,"Not detected",0.704727273,26,131.35,343.751525423729,343.751525423729,"Sampled","Intermediate","MedNorMtn","Mtn","Other","Other"
"105PS0069","Humboldt",1105.110405,"North_Coast","NC","NC","NC","NC",1,1,41.29824625,-123.9425508,604.2700043,1.365,192984.9063,-0.6753,0.211,1673.900024,0.1154,0.0589,1.173,28.173157,208.7299957,3.0047,0.0572,6354.418,3.3631,"Perennial",0,0,0,0,0.6748,1.1273,0,0,0,1.794786829,2.704892752,3.053357386,2,4,5,0,0,0,0,0,78.3,0.121272727,FALSE,TRUE,101.7499,0.0331,0.0159,0.1492,12.0303,2664.5625,248.7273,124.191,17,113.573,0,0,0,100,0,41.99956,813,3,NA,NA,1.44983551545782,"Not detected",0.121272727,17,70,219,219,"Sampled","Intermediate","MedNorMtn","Mtn","Other","Other"
"105PS0083","Siskiyou",1105.230403,"North_Coast","NC","NC","NC","NC",78,78,41.36469401,-123.1871691,1105.73999,1.4842,107680.1016,-0.7995,0.1886,1832.300049,0.143,0.0106,6.488,2.346182,916.2600098,3.3284,0.0463,5216.2666,5.9895,"Perennial",0,0,0,2.2699,0.6899,0.6899,0,0,0,1.294859338,0.394286055,0.394286055,0,0,0,0,0,0,0,0,100.9,0,FALSE,TRUE,168.471,0.0314,0.0102,0.1263,10,1333.6666,297,97.75,14,140,0,0,0,100,0,1.02808,2022,1,NA,NA,0.370361698542463,"Not detected",0,20,80,292,292,"Sampled","Reference","SmallMtn","Mtn","Calibration","RefCal"
"105PS0090","Siskiyou",1105.240103,"North_Coast","NC","NC","NC","NC",78,78,41.07846793,-123.031717,1771.25,1.4711,94830.5,-0.8618,0.1549,1826.800049,0.1089,0.0604,4.5282,95.942772,927.75,3.8993,0.0468,6993,5.1794,"Perennial",0,0,0,0,0,0.2992,0,0,0,0,0,0.090521097,0,0,0,0,0,0,0,0,111.9,0.0985,FALSE,TRUE,137.9978,0.0317,0.0117,0.1332,3.4333,1727.9498,235.7833,114.0963,15.9668,144.1906,0,99.07478987,0,0.925134827,0,91.94754,2699,3,NA,NA,1.98201226204433,"Not detected",0.0985,10,56,227.79125,227.79125,"Sampled","Reference","MedNorMtn","Mtn","Validation","RefVal"
"105PS0092","Siskiyou",1105.8302,"Deserts_Modoc","DM","DM","DM","DMmo",9,9,41.5768499,-121.9255001,986.75,1.1709,63144.19922,-0.3473,0.1402,1607.599976,0.2789,0.0075,4.1163,77.947918,1469.25,3.8475,0.018,5929.4878,6.6767,"Perennial",0,0,0,0,0,0,0,0,0,3.782310056,0.911679525,1.258714899,1,1,2,0,0,0,0,0,61.4,3.39,FALSE,TRUE,137.7107,0.0314,0.0084,0.1215,10.8913,1126.0791,251.9783,94.8042,13.6375,155.9837,0,0,0,0,100,62.43745,2456,3,NA,NA,1.89180451961226,"Not detected",3.39,10,52,202.657272727273,202.657272727273,"Sampled","Intermediate","MedNorMtn","Mtn","Other","Other"
"105PS0097","Siskiyou",1105.310109,"North_Coast","NC","NC","NC","NC",78,78,41.74157187,-123.355488,1852.429993,1.473,140475.2031,-0.855,0.1645,2041.5,0.1111,0.0113,4.6878,233.895186,403.5700073,5.0236,0.0513,5600.2397,5.5843,"Perennial",0,0,0,5.3409,4.6761,2.2025,0,0,0,1.070535851,0.622519255,0.536859146,0,4,6,0,0,0,0,0,172,0.54,FALSE,TRUE,149.8205,0.0314,0.0099,0.1248,8.847,2038.566,284.2313,121.4545,17.7916,141.0819,0,17.27658472,0,20.73569823,61.98768018,331.79541,2256,4,NA,NA,2.36902128330915,"Not detected",0.54,20,77.9095890410959,213.812413793103,213.812413793103,"Sampled","Reference","LargeMtn","Mtn","Calibration","RefCal"
"105PS0107","Siskiyou",1105.410302,"North_Coast","NC","NC","NC","NC",78,78,41.71375258,-123.0173222,2050.960022,1.4468,54996.89844,-0.4523,0.1776,1819.300049,0.138,0.1074,3.5764,2002.903974,536.039978,6.7102,0.0671,4645.1465,5.2326,"Perennial",0,0,5.0374,2.1179,2.9177,3.101,0,0,0.135,0.355888761,1.555503259,1.484292358,1,2,233,1.747154875,0,1,36,0,209.8,0,FALSE,TRUE,125.6348,0.031,0.0088,0.1202,10.9294,882.4179,283.8185,77.0805,10.8393,146.1391,0,22.87215992,0,63.70894542,13.41889593,847.81728,2587,5,NA,NA,3.30166012824435,"Not detected",0,23,138.931818181818,427,427,"Sampled","Intermediate","LargeMtn","Mtn","Other","Other"
"105PS0129","Siskiyou",1105.320102,"North_Coast","NC","NC","NC","NC",78,78,41.92376836,-123.4648288,1215.859985,1.5051,141748,-0.9068,0.1673,1846.599976,0.0485,0.0136,2.9129,25.063613,605.1400147,3.9668,0.0482,5650.124,5.3234,"Perennial",0,0,0,10.8434,6.3254,4.7309,0,0,0,0.896111446,0.706145621,0.642524337,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,124.9153,0.0318,0.0113,0.1306,9.6129,1801.8306,272.5161,112.2025,15.5949,130.4545,0,0,0,0,100,36.05625,1821,2,NA,NA,1.39904367610992,"Not detected",0,23,101,292,292,"Sampled","Intermediate","MedNorMtn","Mtn","Other","Other"
"105PS0154","Siskiyou",1105.240202,"North_Coast","NC","NC","NC","NC",78,78,41.09812487,-123.0733997,1866,1.491833333,103541.8984,-0.8452,0.1578,1813.099976,0.160366667,0.020833333,3.7943,157.7700109,835.9799805,3.323933333,0.0461,5576.784833,5.548933333,"Perennial",0,0,0,4.0163,0.9482,0.3816,0,0,0,1.268889781,0.07629913,0.072035655,0,0,0,0,0,0,0,0,NA,NA,FALSE,TRUE,167.0153667,0.0317,0.0317,0.1323,1.025866667,1365.5234,280.2404,106.1536667,14.3463,149.0302,NA,79.24163016,NA,20.75836984,NA,153.9114,2702,3,NA,NA,2.19802445553762,"Not detected",0,23,138,364.5125,364.5125,"Sampled","Reference","LargeMtn","Mtn","Calibration","RefCal"
"105PS0188","Siskiyou",1105.500801,"Deserts_Modoc","DM","DM","DM","DMmo",9,9,41.71850525,-122.3497152,253.9000244,1.4097,44793.5,-0.5244,0.1852,1835.099976,0.2556,0.0142,1.1208,3.040426,885.0999756,3.3251,0.0184,4172.7778,5.9998,"Perennial",70.1717,37.5704,37.5704,0,2.4296,2.4296,0,0,0,0,1.305655013,1.305655013,0,0,0,0,0,0,0,0,101,1.5,FALSE,TRUE,125.6457,0.0309,0.0078,0.1175,17.6667,591.3333,308.6667,76.6667,10,155.7,0,0,0,0,100,13.80037,1139,2,NA,NA,0.482934437716539,"Not detected",1.5,27,159,595.875555555556,595.875555555556,"Sampled","Stressed","SmallMtn","Mtn","Validation","StressVal"
