"","XGB.result","XGB.count","XGB.sd","XGH.result","XGH.count","XGH.sd","XGW.result","XGW.count","XGW.sd","XM.result","XM.count","XM.sd","XC.result","XC.count","XC.sd","XG.result","XCM.result","XCMG.result","XPMID.result","XPCAN.result","XPGVEG.result","XPCM.result","XPCMG.result","XPMGVEG.result"
"901SJMS1x 2008-06-02",39.5454545454545,22,37.9193721978462,18.5227272727273,22,25.7698038837666,24.7727272727273,22,22.1857565164633,22.3863636363636,22,21.3038850794995,8.29545454545454,22,13.6579464841718,43.2954545454545,30.6818181818182,73.9772727272727,1,0.636363636363636,1,0.636363636363636,0.636363636363636,0.636363636363636
"901SJMS1x 2008-06-25",33.5,10,29.6085573216033,22.25,10,15.5657208849018,26.25,10,12.6518553755741,13,10,10.3279555898864,9.25,10,17.0802842807464,48.5,22.25,70.75,1,0.8,1,0.8,0.8,0.9
"901SJMS1x 2008-07-03",56.25,6,34.2326598440729,8.33333333333333,6,8.16496580927726,18.3333333333333,6,10.3279555898864,19.5833333333333,6,21.4718808367285,29.375,8,37.2431681175027,26.6666666666667,48.9583333333333,75.625,1.2,0.75,1,0.5,0.5,0.666666666666667
"901SJOF1x 2008-04-28",22.8947368421053,19,20.8043658261169,16.5789473684211,19,10.1451454700358,42.375,20,29.13754812139,27.75,20,32.106934814116,10.875,20,20.2334240149417,58.9539473684211,38.625,97.5789473684211,1.11111111111111,0.6,1,0.6,0.6,0.95
"901SJOF1x 2008-05-16",22.5,22,27.0030862433661,15,22,10.2353263143832,54.5454545454545,22,24.2462118253303,30.6818181818182,22,31.558541766716,14.3181818181818,22,21.4251440260456,69.5454545454545,45,114.545454545455,1.04761904761905,0.772727272727273,1,0.772727272727273,0.772727272727273,0.954545454545455
"901SJOF1x 2008-06-05",19,20,17.3470761983563,18.625,20,13.4623011640499,50.625,20,21.9430333027664,29.5,20,28.1513765205185,10.75,20,17.4736643944085,69.25,40.25,109.5,1.05263157894737,0.7,1,0.7,0.7,1
"901SJOF1x 2008-06-25",16.25,20,17.5937339324036,15.625,20,13.9518674471613,50.25,20,28.0143290403134,32.375,20,36.5671246512924,17.625,20,27.9505554977281,65.875,50,115.875,1.11111111111111,0.6,1,0.6,0.6,1
"901SJOF1x 2008-07-03",31.25,4,30.3108891324554,10,4,10,43.75,4,36.3145976158349,25.625,4,41.25,28.125,4,41.3004741699979,53.75,53.75,107.5,1,0.5,1,0.5,0.5,1
"901TCSMP1 2010-04-05",47.5,8,36.8878609533582,12.5,8,10.3509833901353,34.6875,8,37.2596464019722,28.125,8,37.2910847254407,22.5,8,32.9230705042615,47.1875,50.625,97.8125,1,0.625,1,0.625,0.625,0.75
"901TCSMP1 2010-05-05",61.3636363636364,22,28.2076407320959,6.81818181818182,22,5.884898863365,5,22,0,11.0227272727273,22,13.0169095819605,10.3409090909091,22,14.3156477521197,11.8181818181818,21.3636363636364,33.1818181818182,1,0.681818181818182,1,0.681818181818182,0.681818181818182,0.0909090909090909
"901TCSMP1 2010-05-25",58.59375,16,26.6609694434892,24.84375,16,18.5622544877142,12.5,16,10,14.6875,16,10.7189473985711,9.0625,16,11.2869762706109,37.34375,23.75,61.09375,1.06666666666667,0.5625,1,0.5625,0.5625,0.6875
"902S00565 2009-04-27",27.8409090909091,22,18.3921478869681,29.0909090909091,22,14.8913816267412,32.6136363636364,22,18.6681112227075,51.1363636363636,22,23.0517956217142,21.9318181818182,22,17.4392110558672,61.7045454545455,73.0681818181818,134.772727272727,1,0.954545454545455,1,0.954545454545455,0.954545454545455,1
"902S01097 2009-05-11",13.1818181818182,22,17.1336104210585,44.6590909090909,22,20.0934639714583,50.5681818181818,22,18.0266307330132,69.6590909090909,22,17.9995941512688,44.0909090909091,22,18.9068118007117,95.2272727272727,113.75,208.977272727273,1,1,1,1,1,1
"902SMAS1x 2008-04-02",61.7045454545455,22,22.6566814968613,5.90909090909091,22,4.26401432711221,17.7272727272727,22,9.84731927834662,15.9090909090909,22,10.1929438287525,1.81818181818182,22,2.46182981958665,23.6363636363636,17.7272727272727,41.3636363636364,1,0.363636363636364,1,0.363636363636364,0.363636363636364,0.636363636363636
"902SMAS1x 2008-04-08",47.375,20,23.1197540280123,13,20,10.0524937990007,20,20,8.88523316638639,16.25,20,16.8292508511379,2,20,2.51312344975017,33,18.25,51.25,1,0.4,1,0.4,0.4,0.9
"902SMAS1x 2008-05-12",36.3095238095238,21,19.9471026658486,11.6666666666667,21,9.66091783079296,37.9761904761905,21,17.8469018253002,24.5238095238095,21,18.7353117070922,2.38095238095238,21,2.55883157859579,49.6428571428571,26.9047619047619,76.547619047619,1,0.476190476190476,1,0.476190476190476,0.476190476190476,1
