"","PCT_RS.result","PCT_RR.result","PCT_RC.result","PCT_XB.result","PCT_SB.result","PCT_CB.result","PCT_GC.result","PCT_GF.result","PCT_SA.result","PCT_FN.result","PCT_HP.result","PCT_WD.result","PCT_OT.result","PCT_BDRK.result","PCT_BIGR.result","PCT_SFGF.result","PCT_SAFN.result","XSDGM.result","XSPGM.result","SB_PT_D50.result","SB_PT_D10.result","SB_PT_D25.result","SB_PT_D75.result","SB_PT_D90.result","SB_PP_D50.result","SB_PP_D10.result","SB_PP_D25.result","SB_PP_D75.result","SB_PP_D90.result","XEMBED.result","XEMBED.count","XEMBED.sd","PCT_CPOM.result"
"905DGSY1x 2008-07-09",1.05263157894737,0,0,0,5.26315789473684,23.1578947368421,8.42105263157895,37.8947368421053,21.0526315789474,2.10526315789474,0,0,1.05263157894737,1.05263157894737,37.8947368421053,61.0526315789474,23.1578947368421,14.9521732549722,14.0275777683367,9,1.03,9,157,157,9,1.03,9,69.25,297.4,65.2380952380952,21,26.9479215560398,28.4210526315789
"905DGSY1x 2008-07-16",20,0,0,0,8.57142857142857,11.4285714285714,5.71428571428571,37.1428571428571,14.2857142857143,2.85714285714286,0,0,0,20,45.7142857142857,54.2857142857143,17.1428571428571,44.2051013261195,13.1412410060694,9,1.03,9,625,5660,40,1.03,1.03,157,625,65,4,38.7298334620742,34.2857142857143
"905DGSY1x 2010-05-03",1,1,0,3,18,16,16,10,31,1,0,1,2,2,55,42,32,25.9739264458648,23.1905305088914,40,1.03,1.03,157,625,9,1.03,1.03,157,625,40,16,26.0768096208106,27.2727272727273
"905DGSY1x 2010-06-01",0,0.952380952380952,0,0,16.1904761904762,10.4761904761905,10.4761904761905,20,40,0.952380952380952,0,0,0.952380952380952,0.952380952380952,38.0952380952381,60.9523809523809,40.9523809523809,11.9683884120399,11.2737118364745,9,1.03,1.03,157,625,9,0.03,1.03,40,625,51.6666666666667,12,28.1500309489038,9.52380952380952
"905DGSY1x 2010-06-14",0,0.952380952380952,0,0,14.2857142857143,1.9047619047619,15.2380952380952,18.0952380952381,31.4285714285714,14.2857142857143,0,3.80952380952381,0,0.952380952380952,32.3809523809524,63.8095238095238,45.7142857142857,5.09561191310895,4.75050898033746,9,0.03,1.03,40,625,9,1.03,1.03,40,625,73.3333333333333,3,20.8166599946613,2.85714285714286
"905DGSY1x 2010-06-29",0,6.73076923076923,0,0,11.5384615384615,9.61538461538461,21.1538461538462,7.69230769230769,28.8461538461538,7.69230769230769,0,5.76923076923077,0.961538461538462,6.73076923076923,49.0384615384615,44.2307692307692,36.5384615384615,14.571743906019,9.1647611053674,40,1.03,1.03,157,625,1.03,1.03,1.03,40,157,46.3636363636364,11,34.3577436024915,24.0384615384615
"905DGSY1x 2010-07-20",0,0.952380952380952,0,0.952380952380952,7.61904761904762,10.4761904761905,12.3809523809524,9.52380952380952,54.2857142857143,0,0,1.9047619047619,1.9047619047619,0.952380952380952,32.3809523809524,63.8095238095238,54.2857142857143,6.9078479199789,6.4596357756191,1.03,1.03,1.03,40,157,5.015,0.03,0.03,40,157,40,11,35.9861084308932,7.61904761904762
"905DGSY1x 2010-08-19",0,2.85714285714286,0,0,6.66666666666667,13.3333333333333,14.2857142857143,14.2857142857143,21.9047619047619,26.6666666666667,0,0,0,2.85714285714286,37.1428571428571,62.8571428571429,48.5714285714286,3.53426397864766,2.84477859309887,9,0.03,0.03,40,157,40,1.03,1.03,157,625,32.5,14,38.2174949869418,3.80952380952381
"905DGSY1x 2010-09-15",7.61904761904762,0,0,0,11.4285714285714,15.2380952380952,21.9047619047619,11.4285714285714,30.4761904761905,0,0,0,1.9047619047619,7.61904761904762,56.1904761904762,41.9047619047619,30.4761904761905,26.9916110922648,17.2078531874186,40,1.03,1.03,157,625,157,1.03,9,625,2500,51.1764705882353,17,33.6586454237943,44.7619047619048
"905DGUT1 2010-05-13",1,0,0,18,25,13,9,12,21,0,0,1,0,1,66,33,21,82.0589397976923,78.5893602258184,157,1.03,9,625,2500,40,1.03,1.03,625,625,54.2307692307692,13,27.6771682262771,33.3333333333333
"905DGUT1 2010-06-02",0,0.952380952380952,0,7.61904761904762,26.6666666666667,5.71428571428571,11.4285714285714,10.4761904761905,35.2380952380952,0.952380952380952,0,0.952380952380952,0,0.952380952380952,52.3809523809524,46.6666666666667,36.1904761904762,28.3527257464685,26.9316255999235,40,1.03,1.03,625,625,40,1.03,1.03,625,2500,54.1666666666667,6,33.528594761288,21.9047619047619
"905DGUT1 2010-06-16",0,0,0,11.4285714285714,20,7.61904761904762,11.4285714285714,9.52380952380952,38.0952380952381,0,0,1.9047619047619,0,0,50.4761904761905,47.6190476190476,38.0952380952381,26.3477545144582,26.3477545144582,40,1.03,1.03,625,2500,9,1.03,1.03,625,625,58.75,8,12.4642345475822,18.0952380952381
