"","XMIAT.result","XMIAT.count","XMIAT.sd","XMIATP.result","XMIATP.count","XMIATP.sd","PCT_MIATP.result","PCT_MIAT1.result","PCT_MIAT1P.result","PCT_MAA.result","PCT_MCP.result","PCT_MAU.result","PCT_MAP.result","PCT_NSA.result"
"ME-SCR 2011-07-13",0.00476190476190476,105,0.0343369961416153,0.25,2,0,1.9047619047619,0,0,14.2857142857143,5.71428571428571,10.4761904761905,22.8571428571429,22.8571428571429
"ME-VR2 2010-07-07",0.010752688172043,93,0.0509952376109724,0.25,4,0,4.3010752688172,0,0,9,2,0,9.47368421052632,10
"ME-VR2 2011-07-06",0,104,0,0,0,NA,0,0,0,67.3076923076923,4.80769230769231,4.80769230769231,69.9029126213592,70.5882352941177
"MO2_Mont 2010-06-30",0,13,0,0,0,NA,0,0,0,20,20,1.53846153846154,31.8181818181818,48.2758620689655
"REF-TCAS 2009-04-30",NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"SA_RB 2010-06-02",0.0892857142857143,84,0.188697410063159,0.46875,16,0.0853912563829966,19.047619047619,0,0,3.57142857142857,5.95238095238095,0,4.47761194029851,5.45454545454545
"SGLT506 2010-07-06",0.705445544554455,101,0.856881000784211,0.727040816326531,98,0.860866512855523,97.029702970297,11.8811881188119,12.2448979591837,46.1538461538462,20,16.3461538461538,54.8076923076923,62.7450980392157
"SGUR010 2010-06-18",0,104,0,0,0,NA,0,0,0,82.8571428571429,0.952380952380952,1.9047619047619,82.8571428571429,83.6538461538462
"SGUR010 2011-06-27",0.0157894736842105,95,0.0879020120236457,0.5,3,0,3.15789473684211,0,0,41.0526315789474,0,0,43.8202247191011,49.3670886075949
"SGUR103 2010-07-22",0,105,0,0,0,NA,0,0,0,0,0.952380952380952,0,0,0
"SGUR103 2011-08-03",0.0222772277227723,101,0.0873141590822337,0.321428571428571,7,0.121987509118567,6.93069306930693,0,0,0,0,0,0,0
"SGUT 503 2009-05-08",0.0537634408602151,93,0.115682417386479,0.277777777777778,18,0.0808452083454443,19.3548387096774,0,0,1.9047619047619,0.952380952380952,0.952380952380952,2.85714285714286,2.97029702970297
"SGUT 503 2010-05-27",0.00238095238095238,105,0.0243975018237133,0.25,1,NA,0.952380952380952,0,0,4.76190476190476,3.80952380952381,0,4.76190476190476,4.76190476190476
"SGUT501 2010-07-07",0.788659793814433,97,0.920923029793546,0.805263157894737,95,0.923380516876639,97.9381443298969,14.4329896907216,14.7368421052632,18.3673469387755,9.52380952380952,0,19.5652173913043,35.2941176470588
"SGUT502 2010-05-27",0.00476190476190476,105,0.0343369961416153,0.25,2,0,1.9047619047619,0,0,4.76190476190476,1.9047619047619,0,4.76190476190476,4.76190476190476
"SGUT502 2011-06-28",0.0461165048543689,103,0.0974401073934171,0.25,19,0,18.4466019417476,0,0,5.8252427184466,0,0,5.94059405940594,6.06060606060606
"SGUT503 2011-07-27",0.0196078431372549,102,0.067544214615133,0.25,8,0,7.84313725490196,0,0,0,0,0,0,0
"SGUT504 2010-07-07",0.973557692307692,104,1.09273764896009,1.0125,100,1.09658273142918,96.1538461538462,22.1153846153846,23,8.65384615384615,6.66666666666667,0,8.7378640776699,29.4117647058824
"SGUT505 2010-07-08",0.511538461538461,65,0.460194356933944,0.511538461538461,65,0.460194356933944,100,3.07692307692308,3.07692307692308,2.88461538461538,30.4761904761905,0,2.88461538461538,4.90196078431373
"Site 19 2010-07-10",0.266666666666667,105,0.23066236842001,0.4375,64,0.109108945117996,60.952380952381,0,0,38.0952380952381,0.952380952380952,0,38.0952380952381,38.0952380952381
"Site 6 2010-07-08",0.207070707070707,99,0.171430074548485,0.310606060606061,66,0.107958379271883,66.6666666666667,0,0,0,0,0,0,0
"Site 7 2010-07-06",0.418367346938776,98,0.151349216431861,0.450549450549451,91,0.100137268424261,92.8571428571429,0,0,0.99009900990099,3.80952380952381,0,1.03092783505155,1.0752688172043
"SMC00080 2011-06-13",0.0690476190476191,105,0.112314152556429,0.25,29,0,27.6190476190476,0,0,9.52380952380952,11.4285714285714,14.2857142857143,22.8571428571429,22.8571428571429
"SMC00105 2009-05-12",0.102272727272727,66,0.180689239852852,0.375,18,0.128623938856882,27.2727272727273,0,0,22.7272727272727,1.42857142857143,1.51515151515152,34.0425531914894,55.1724137931034
"SMC00135 2010-06-07",0.135714285714286,105,0.321558276638505,0.365384615384615,39,0.443691726515311,37.1428571428571,0.952380952380952,2.56410256410256,1.9047619047619,0,0,1.9047619047619,2.85714285714286
"SMC00153 2009-06-08",0.417682926829268,82,0.141938073616437,0.439102564102564,78,0.108006564223745,95.1219512195122,0,0,32.3809523809524,15.2380952380952,0,32.3809523809524,32.3809523809524
"SMC00180 2010-06-18",5.4375,52,5.80121585464262,5.4375,52,5.80121585464262,100,88.4615384615385,88.4615384615385,0,27.2727272727273,50,80,2800
"SMC00191 2010-07-12",0.0921052631578947,57,0.180720155035597,0.403846153846154,13,0.126592420885458,22.8070175438596,0,0,27.1844660194175,0,0,27.7227722772277,28.5714285714286
