"","XFC_AQM.result","XFC_AQM.count","XFC_AQM.sd","XFC_HUM.result","XFC_HUM.count","XFC_HUM.sd","XFC_RCK.result","XFC_RCK.count","XFC_RCK.sd","XFC_ALG.result","XFC_ALG.count","XFC_ALG.sd","XFC_LWD.result","XFC_LWD.count","XFC_LWD.sd","XFC_LTR.result","XFC_LTR.count","XFC_LTR.sd","XFC_OHV.result","XFC_OHV.count","XFC_OHV.sd","XFC_BRS.result","XFC_BRS.count","XFC_BRS.sd","XFC_UCB.result","XFC_UCB.count","XFC_UCB.sd","XFC_BIG.result","XFC_NAT_EMAP.result","XFC_NAT_SWAMP.result","CFC_AQM.result","CFC_HUM.result","CFC_RCK.result","CFC_ALG.result","CFC_LWD.result","CFC_LTR.result","CFC_OHV.result","CFC_BRS.result","CFC_UCB.result","CFC_ALL_EMAP.result","CFC_ALL_SWAMP.result"
"901TCSMP1 2010-05-25",2.5,8,NA,0,8,NA,10,8,NA,68.4375,8,NA,1.875,8,NA,0.625,8,NA,7.5,8,NA,3.125,8,NA,0.625,8,NA,12.5,23.125,26.25,4,0,8,8,3,1,8,5,1,7,8
"902S00565 2009-04-27",21.3636363636364,11,8.0903983495589,0,11,0,25.4545454545455,11,18.194029989882,40.9090909090909,11,19.8831815635956,9.31818181818182,11,17.5389177648918,10.4545454545455,11,9.34198732993828,20.6818181818182,11,15.656105402163,6.36363636363636,11,6.36038878171338,0,11,0,34.7727272727273,61.8181818181818,93.6363636363636,11,0,11,11,6,11,11,10,0,6,7
"902S01097 2009-05-11",11.1363636363636,11,16.6344385374002,0.454545454545455,11,1.50755672288882,3.63636363636364,11,7.44678087864451,21.3636363636364,11,20.4744852305142,4.09090909090909,11,7.3546522073385,8.18181818181818,11,8.44770006354607,15.9090909090909,11,10.4446593573419,14.0909090909091,11,10.4446593573419,4.09090909090909,11,7.3546522073385,12.2727272727273,41.8181818181818,61.1363636363636,10,1,4,10,5,10,11,11,5,8,9
"902SMAS1x 2008-04-02",2.72727272727273,11,2.61116483933547,0.454545454545455,11,1.50755672288882,17.7272727272727,11,10.0904995821903,2.27272727272727,11,2.61116483933547,0.454545454545455,11,1.50755672288882,4.54545454545455,11,1.50755672288882,5.90909090909091,11,6.64009857539096,5,11,0,0.454545454545455,11,1.50755672288882,19.0909090909091,29.5454545454545,36.8181818181818,6,1,11,5,1,10,9,11,1,8,9
"902SMAS1x 2008-04-08",2.5,10,2.63523138347365,0.5,10,1.58113883008419,26.75,10,22.9446798481333,0,10,0,0.5,10,1.58113883008419,4.5,10,1.58113883008419,4,10,2.10818510677892,4.5,10,1.58113883008419,0,10,0,27.75,35.75,42.75,5,1,10,0,1,9,8,9,0,6,7
"902SMAS1x 2008-05-12",4.5,10,NA,0.5,10,NA,20.25,10,NA,3.5,10,NA,0.5,10,NA,5,10,NA,3.5,10,NA,5,10,NA,0,10,NA,21.25,29.25,38.75,9,1,10,7,1,10,7,10,0,7,8
"902SMAS1x 2008-06-02",3.33333333333333,3,NA,0,3,NA,35.8333333333333,3,NA,3.33333333333333,3,NA,0,3,NA,5,3,NA,3.33333333333333,3,NA,3.33333333333333,3,NA,1.66666666666667,3,NA,37.5,44.1666666666667,52.5,2,0,3,2,0,3,2,2,1,6,7
"903ACPCT1 2010-05-11",4,10,2.10818510677892,0,10,0,8.5,10,8.83490552046571,1,10,2.10818510677892,0,10,0,4.5,10,1.58113883008419,7,10,6.32455532033676,5,10,0,0.5,10,1.58113883008419,9,21,29.5,8,0,9,2,0,9,10,10,1,6,7
"903ACPCT1 2010-05-25",4.09090909090909,11,2.02259958738973,0,11,0,19.0909090909091,11,10.2024952384654,0,11,0,0.454545454545455,11,1.50755672288882,1.81818181818182,11,2.52262489554756,6.36363636363636,11,6.36038878171338,6.81818181818182,11,6.03022689155527,0.454545454545455,11,1.50755672288882,20,33.1818181818182,39.0909090909091,9,0,10,0,1,4,10,11,1,6,7
"903ACPCT1 2010-06-15",0,11,0,0,11,0,25,11,18.808242873804,0.454545454545455,11,1.50755672288882,0,11,0,2.27272727272727,11,2.61116483933547,11.3636363636364,11,10.9751786069542,0.909090909090909,11,2.02259958738973,0,11,0,25,37.2727272727273,39.5454545454545,0,0,10,1,0,5,9,2,0,4,5
