"","XBKF_H.result","XBKF_H.count","XBKF_H.sd","XKBF_W.result","XKBF_W.count","XKBF_W.sd","XWDEPTH.result","XWDEPTH.count","XWDEPTH.sd","XWIDTH.result","XWIDTH.count","XWIDTH.sd","XWDR.result","XWDR.count","XWDA.result","XWDA.count","XWDM.result","XWDM.count"
"SMC00288 2009-06-18",0.645454545454545,11,0.166515082581947,3.95454545454545,11,1.46312243941759,7.22857142857143,105,10.0701932061302,1.66904761904762,21,0.690738045585334,23.0895915678524,21,0.433095577746077,105,12.046511627907,43
"SMC00318 2010-06-15",0.9,11,0,105,11,0,9.9,105,13.4164795336527,98,21,0,989.89898989899,21,0.0101020408163265,105,34.6666666666667,21
"SMC00324 2010-06-21",0.272727272727273,11,0.0646669790682863,47.5363636363636,11,6.00004545437328,7.28571428571429,105,9.17638512465796,42.1190476190476,21,4.97359216739964,578.104575163399,21,0.0172979084228378,105,19.047619047619,21
"SMC00345 2011-07-19",0.383636363636364,11,0.0747358986395062,3.4,11,0.784856674813943,6.19047619047619,105,9.87527530102641,1.62857142857143,21,0.726734378671366,26.3076923076923,21,0.380116959064327,105,12.7619047619048,21
"SMC00375 2010-06-08",0.6,11,0.10733126291999,11.7545454545455,11,1.74777780988525,5.8847619047619,105,11.7528701973372,3.60380952380952,21,0.503591860443318,61.239682796569,21,0.163292811839323,105,16.952380952381,21
"SMC00382 2009-06-23",0.65,11,0,3.60909090909091,11,0.301511344577764,1.7125,120,1.61096883527748,3.13333333333333,24,0.626700584959361,182.968369829684,24,0.0546542553191489,120,2.97674418604651,43
"SMC00428 2010-07-22",0.513636363636364,11,0.126670653844742,5.39090909090909,11,1.8151884450131,3.03809523809524,105,3.15291016219024,1.34666666666667,21,0.890894681392438,44.3260188087774,21,0.225601131541726,105,6.95238095238095,21
"SMC00428 2011-08-03",0.3,11,0.0774596669241483,5.11272727272727,11,0.783582681139532,6.16666666666667,105,7.50405873084009,2.56095238095238,21,0.900899021877062,41.5289575289575,21,0.240795834882856,105,14.3333333333333,21
"SMC00436 2009-05-26",1.3,11,0,68,11,0,4.24761904761905,105,4.13888909375486,59.6190476190476,21,0.804747816162957,1403.58744394619,21,0.00712460063897764,105,7.34883720930233,43
"SMC00440 2009-05-20",0.722727272727273,11,0.0410099766132362,6.18181818181818,11,1.23354625516693,1.87142857142857,105,1.90271639251089,1.21809523809524,21,0.470240566599895,65.089058524173,21,0.153635652853792,105,2.95348837209302,43
"SMC00446 2010-07-01",0.48,10,0.135810325249756,3.48363636363636,11,0.624744311335009,30.3619047619048,105,25.5053251640047,2.21333333333333,21,0.694336613850468,7.28983688833124,21,1.37177280550775,105,52.7142857142857,21
"SMC00457 2009-06-04",0.440909090909091,11,0.199772597993546,8.5,11,1.71755640373177,10.4095238095238,105,10.4040443671747,3.01428571428571,21,2.63311331208623,28.9569990850869,21,0.345339652448657,105,16.6744186046512,43
