"","PBM_S.result","PBM_V.result","PBM_E.result"
"SMC01504 2011-06-28",63.6363636363636,36.3636363636364,0
"SMC01512 2010-06-23",100,0,0
"SMC01523 2011-07-07",0,100,0
"SMC01544 2010-07-14",0,50,50
"SMC01550 2009-06-25",100,0,0
"SMC01555 2011-06-23",100,0,0
"SMC01559 2011-06-21",0,100,0
"SMC01567 2010-06-09",100,0,0
"SMC01606 2009-05-26",100,0,0
"SMC01640 2009-06-29",100,0,0
"SMC01655 2011-07-06",0,100,0
"SMC01676 2010-07-03",86.3636363636364,13.6363636363636,0
"SMC01684 2009-06-03",100,0,0
"SMC01692 2011-06-20",0,100,0
"SMC01694 2010-06-28",100,0,0
"SMC01716 2010-06-08",100,0,0
"SMC01717 2009-05-28",95.4545454545455,4.54545454545455,0
"SMC01726 2010-06-30",100,0,0
"SMC01748 2009-06-03",13.6363636363636,72.7272727272727,13.6363636363636
"SMC01808 2011-06-13",27.2727272727273,72.7272727272727,0
"SMC01814 2010-06-09",27.2727272727273,59.0909090909091,13.6363636363636
"SMC01860 2009-05-28",100,0,0
"SMC01909 2009-06-09",100,0,0
"SMC01923 2011-07-12",9.09090909090909,90.9090909090909,0
"SMC01960 2010-06-23",100,0,0
"SMC01962 2010-06-08",100,0,0
"SMC01972 2010-06-07",100,0,0
"SMC01979 2011-07-14",59.0909090909091,40.9090909090909,0
"SMC01990 2009-05-21",0,36.3636363636364,63.6363636363636
"SMC02006 2009-05-26",100,0,0
"SMC02059 2010-06-03",100,0,0
"SMC02088 2011-06-14",0,81.8181818181818,18.1818181818182
"SMC02092 2011-06-14",36.3636363636364,63.6363636363636,0
"SMC02123 2011-07-05",0,0,100
"SMC02127 2009-06-04",36.3636363636364,63.6363636363636,0
"SMC02145 2011-07-19",13.6363636363636,36.3636363636364,50
"SMC02152 2010-07-14",90.9090909090909,9.09090909090909,0
"SMC02167 2010-06-07",0,100,0
"SMC02206 2011-07-19",100,0,0
"SMC02228 2009-06-23",100,0,0
"SMC02270 2010-06-30",100,0,0
"SMC02417 2011-07-20",100,0,0
"SMC02436 2009-05-28",72.7272727272727,22.7272727272727,4.54545454545455
"SMC02452 2011-06-30",100,0,0
"SMC02457 2010-05-31",86.3636363636364,13.6363636363636,0
"SMC02464 2011-06-22",0,100,0
"SMC02536 2011-06-29",100,0,0
"SMC02548 2010-07-09",77.2727272727273,18.1818181818182,4.54545454545455
"SMC02563 2010-06-24",9.09090909090909,0,90.9090909090909
"SMC02573 2010-06-09",0,95.4545454545455,4.54545454545455
"SMC02591 2011-07-21",100,0,0
"SMC02622 2010-06-15",100,0,0
"SMC02644 2011-06-30",0,13.6363636363636,86.3636363636364
"SMC02656 2009-06-23",100,0,0
"SMC02749 2011-06-27",0,0,100
"SMC02804 2011-06-20",100,0,0
"SMC02884 2010-06-23",100,0,0
"SMC02902 2011-08-02",59.0909090909091,31.8181818181818,9.09090909090909
"SMC02933 2010-06-01",36.3636363636364,45.4545454545455,18.1818181818182
"SMC02947 2011-07-12",100,0,0
"SMC02976 2010-07-27",72.7272727272727,27.2727272727273,0
"SMC02984 2010-06-23",100,0,0
"SMC03110 2011-07-26",100,0,0
"SMC03133 2010-06-02",100,0,0
"SMC03216 2011-07-27",22.7272727272727,68.1818181818182,9.09090909090909
"SMC03234 2011-06-28",0,95.4545454545455,4.54545454545455
"SMC03268 2009-05-28",100,0,0
"SMC03280 2011-08-11",13.6363636363636,72.7272727272727,13.6363636363636
"SMC03304 2011-06-29",100,0,0
"SMC03510 2011-07-21",100,0,0
"SMC03533 2010-06-01",0,100,0
"SMC03687 2010-06-02",100,0,0
"SMC03944 2010-07-12",100,0,0
"SMC03971 2011-07-11",100,0,0
"SMC03988 2011-06-29",45.4545454545455,31.8181818181818,22.7272727272727
"SMC04047 2009-05-14",77.2727272727273,22.7272727272727,0
"SMC04054 2009-05-27",0,45.4545454545455,54.5454545454545
"SMC04134 2011-07-26",100,0,0
"SMC04175 2009-06-11",72.7272727272727,27.2727272727273,0
"SMC04239 2009-06-11",100,0,0
"SMC04264 2010-07-09",27.2727272727273,72.7272727272727,0
"SMC04308 2009-06-17",100,0,0
"SMC04383 2010-06-09",100,0,0
"SMC04399 2009-06-11",72.7272727272727,18.1818181818182,9.09090909090909
"SMC04426 2011-07-25",100,0,0
"SMC04661 2011-07-18",45.4545454545455,54.5454545454545,0
"SMC04682 2011-07-25",100,0,0
"SMC04748 2009-07-02",81.8181818181818,4.54545454545455,13.6363636363636
