"","PCT_CF.result","PCT_CF.count","PCT_CF.sd","PCT_DR.result","PCT_DR.count","PCT_DR.sd","PCT_GL.result","PCT_GL.count","PCT_GL.sd","PCT_POOL.result","PCT_POOL.count","PCT_POOL.sd","PCT_RA.result","PCT_RA.count","PCT_RA.sd","PCT_RI.result","PCT_RI.count","PCT_RI.sd","PCT_RN.result","PCT_RN.count","PCT_RN.sd","PCT_FAST.result","PCT_SLOW.result","PCT_CF_WT.result","PCT_CF_WT.count","PCT_GL_WT.result","PCT_GL_WT.count","PCT_POOL_WT.result","PCT_POOL_WT.count","PCT_RA_WT.result","PCT_RA_WT.count","PCT_RI_WT.result","PCT_RI_WT.count","PCT_RN_WT.result","PCT_RN_WT.count","PCT_FAST_WT.result","PCT_SLOW_WT.result"
"905DGSY1x 2008-04-10",1,10,2.10818510677892,2.5,10,3.53553390593274,7.5,10,15.8552479920337,2,10,4.83045891539648,0,10,0,56,10,33.8952635170298,31,10,23.6643191323985,88,9.5,0.975,10,7.3125,10,1.95,10,0,10,54.6,10,30.225,10,85.8,9.2625
"905DGSY1x 2008-04-24",1,10,2.10818510677892,5.5,10,5.50252467307306,23.5,10,33.0025251559129,2.5,10,3.53553390593274,0,10,0,58.5,10,30.826575836083,9,10,17.763883459299,68.5,26,0.945,10,22.2075,10,2.3625,10,0,10,55.2825,10,8.505,10,64.7325,24.57
"905DGSY1x 2008-05-14",0.5,10,1.58113883008419,5.5,10,3.68932393686311,17,10,33.2665998663324,6.5,10,5.79750904364203,0,10,0,65.5,10,31.2205416708651,5,10,7.07106781186548,71,23.5,0.4725,10,16.065,10,6.1425,10,0,10,61.8975,10,4.725,10,67.095,22.2075
"905DGSY1x 2008-06-03",0.5,10,1.58113883008419,4.5,10,4.37797517885457,26,10,38.8587184554509,8,10,8.88194172964949,0,10,0,61,10,35.3396220818629,0,10,0,61.5,34,0.4775,10,24.83,10,7.64,10,0,10,58.255,10,0,10,58.7325,32.47
"905DGSY1x 2008-06-24",1.5,10,3.37474278855276,13.5,10,12.0300549550791,28.5,10,34.7251109909433,21,10,20.5209919621618,0,10,0,35.5,10,29.6694755224587,0,10,0,37,49.5,1.2975,10,24.6525,10,18.165,10,0,10,30.7075,10,0,10,32.005,42.8175
"905DGSY1x 2008-07-02",0,10,0,17,10,12.952906151817,21.5,10,30.0970651946886,44,10,20.6559111797729,0,10,0,17.5,10,15.3206469257085,0,10,0,17.5,65.5,0,10,17.845,10,36.52,10,0,10,14.525,10,0,10,14.525,54.365
"905DGSY1x 2008-07-09",0,10,0,27.5,10,28.1118796557217,11.5,10,13.9542904592897,52,10,25.6255081250434,0,10,0,9,10,8.09663853432741,0,10,0,9,63.5,0,10,8.3375,10,37.7,10,0,10,6.525,10,0,10,6.525,46.0375
"905DGSY1x 2008-07-16",0,10,0,77.5,10,36.7612416668546,0,10,0,22.5,10,36.7612416668546,0,10,0,0,10,0,0,10,0,0,22.5,0,10,0,10,5.0625,10,0,10,0,10,0,10,0,5.0625
"905DGSY1x 2010-05-03",0,10,0,6.6,10,9.66321777555374,49.9,10,38.2257911770458,7.5,10,22.0164080227048,1.5,10,4.74341649025257,26.5,10,32.2361081191056,8,10,25.298221281347,36,57.4,0,10,46.6066,10,7.005,10,1.401,10,24.751,10,7.472,10,33.624,53.6116
"905DGSY1x 2010-06-01",0,10,0,0,10,0,25,10,26.3523138347365,1.5,10,3.37474278855276,0,10,0,73.5,10,27.5932761536011,0,10,0,73.5,26.5,0,10,25,10,1.5,10,0,10,73.5,10,0,10,73.5,26.5
"905DGSY1x 2010-06-14",0,10,0,0,10,0,11.5,10,18.8635450892279,0,10,0,0,10,0,78.5,10,33.1704352967786,0,10,0,78.5,11.5,0,10,10.35,10,0,10,0,10,70.65,10,0,10,70.65,10.35
"905DGSY1x 2010-06-29",0,10,0,0,10,0,10.5,10,5.50252467307306,2,10,6.32455532033676,0,10,0,87.5,10,10.6066017177982,0,10,0,87.5,12.5,0,10,10.5,10,2,10,0,10,87.5,10,0,10,87.5,12.5
"905DGSY1x 2010-07-20",0,10,0,0,10,0,20.5,10,24.8830598332815,0,10,0,0,10,0,79.5,10,24.8830598332815,0,10,0,79.5,20.5,0,10,20.5,10,0,10,0,10,79.5,10,0,10,79.5,20.5
"905DGSY1x 2010-08-19",0,10,0,0,10,0,31,10,23.3095116493961,0,10,0,0,10,0,69,10,23.3095116493961,0,10,0,69,31,0,10,31,10,0,10,0,10,69,10,0,10,69,31
"905DGSY1x 2010-09-15",0,10,0,0,10,0,56.5,10,26.2519840520039,1,10,2.10818510677892,0,10,0,42.5,10,27.4114736723309,0,10,0,42.5,57.5,0,10,56.5,10,1,10,0,10,42.5,10,0,10,42.5,57.5
