"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"LB_RA 2010-05-26",NA,NA,NA,NA,NA,NA,NA,NA
"LB_RA1 2010-05-26",NA,NA,NA,NA,NA,NA,NA,NA
"LC_R31 2010-05-25",NA,NA,NA,NA,NA,NA,NA,NA
"LC_R4 2010-05-25",NA,NA,NA,NA,NA,NA,NA,NA
"LC_R5 2010-05-25",153,15.2,8.02,NA,1030,22.6,72.68,NA
"ME-CC 2010-07-12",249,6.71,7.69,0.91,1645,20.71,69.278,NA
"ME-CC 2011-07-07",280,6.15,8.16,0.83,1641,20.91,69.638,NA
"ME-SCR 2011-07-13",226,9.61,8.22,0.73,1450,18.27,64.886,NA
"ME-VR2 2010-07-07",223,8.71,7.9,0.51,861,16.62,61.916,NA
"ME-VR2 2011-07-06",231,7.32,7.83,0.49,989,18.18,64.724,NA
"MO2_Mont 2010-06-30",NA,8.59,7.79,7.78,1343.4,17.43,63.374,NA
"POM_RC 2010-05-28",NA,NA,NA,NA,NA,NA,NA,NA
"POM_RD 2010-06-16",NA,NA,NA,NA,NA,NA,NA,NA
"REF-CS 2008-10-22",NA,10.5,7.85,NA,671,14.78,58.604,NA
"REF-CS 2009-04-29",152,9.59,8.18,NA,535,14.77,58.586,NA
"REF-TCAS 2009-04-30",201,9.36,7.94,0.26,534,11.99,53.582,NA
"SA_RB 2010-06-02",NA,NA,NA,NA,NA,NA,NA,NA
"SGLT506 2010-07-06",200,12.02,8.59,0.56,1122,22.29,72.122,7.4
"SGLT508 2009-05-26",NA,NA,NA,NA,NA,NA,NA,NA
"SGUR010 2010-06-18",251,10.31,8.54,0.24,380,13.29,55.922,NA
"SGUR010 2011-06-27",167,8.3,8.61,0.19,394,24.9,76.82,NA
"SGUR103 2010-07-22",186,8.88,8.03,0.13,221,14.1,57.38,NA
"SGUR103 2011-08-03",NA,9.08,8,0.15,322,15.4,59.72,NA
"SGUT 503 2009-05-08",155,9.78,8.02,0.16,238,10.85,51.53,NA
"SGUT 503 2010-05-27",181,10.06,8.3,0.17,253,9.28,48.704,NA
"SGUT501 2010-07-07",160,8.2,8.12,0.16,328,18.53,65.354,2.3
"SGUT502 2009-05-13",150,7.62,8.36,0.17,316,19.7,67.46,NA
"SGUT502 2010-05-27",164,9.6,8.17,0.18,291,13.1,55.58,NA
"SGUT502 2011-06-28",156,8.27,8.36,0.18,368,18.33,64.994,NA
"SGUT503 2011-07-27",170,9.19,8.06,0.16,332,13.82,56.876,NA
"SGUT504 2010-07-07",172,9.16,8.26,0.16,324,17.04,62.672,0.8
"SGUT505 2010-07-08",140,9.11,8.08,0.15,309,17.31,63.158,11.3
"Site 19 2010-07-10",200,9.53,8.03,0.36,742,21.33,70.394,0.4
"Site 6 2010-07-08",280,7.83,8.19,0.22,452,24.31,75.758,1.5
"Site 7 2010-07-06",248,8.85,7.96,0.47,952,17.63,63.734,2.9
"SJC_C1Alt 2010-06-03",NA,NA,NA,NA,NA,NA,NA,NA
"SJC_R2 2010-05-25",NA,NA,NA,NA,NA,NA,NA,NA
"SMC00061 2010-07-26",2,4,1,6,5,NA,NA,3
"SMC00080 2011-06-13",NA,8.08,7.95,0.25,506,16.95,62.51,NA
"SMC00105 2009-05-12",250,8.59,7.71,NA,1141,15.09,59.162,NA
"SMC00135 2010-06-07",NA,14.25,6.98,0.09,187,11.6,52.88,NA
"SMC00153 2009-06-08",356,7.7,7.84,1,1953,18.1,64.58,1.4
"SMC00180 2010-06-18",4,NA,NA,44,33,2,35.6,5
"SMC00191 2010-07-12",198,8.06,8.24,0.53,1066,24.44,75.992,NA
"SMC00198 2009-05-20",330,6.85,7.84,1.4,2.701,19.2,66.56,-1.2
"SMC00206 2009-05-18",226,12.42,7.86,NA,1379,18.6,65.48,NA
"SMC00271 2009-06-04",205,7.1,7.91,0.28,443,15.27,59.486,NA
"SMC00282 2009-06-09",116,7.65,7.85,0.19,385,18.54,65.372,-3.5
"SMC00288 2009-06-18",244,7.32,7.63,0.46,924,16.77,62.186,6.7
"SMC00318 2010-06-15",206,10.75,8.45,0.6,1086,19.6,67.28,NA
"SMC00324 2010-06-21",220,10.03,8.14,0.73,1323,20.68,69.224,NA
"SMC00345 2011-07-19",400,6.44,7.86,1.1,2155,21.64,70.952,8.9
"SMC00375 2010-06-08",NA,9.19,7.76,0.12,262,26.6,79.88,NA
"SMC00382 2009-06-23",64,9.31,7.77,0.15,338,26.25,79.25,NA
"SMC00428 2010-07-22",197,7.64,7.88,0.18,344,21.14,70.052,NA
"SMC00428 2011-08-03",NA,7.43,7.79,0.15,384,21.05,69.89,NA
"SMC00436 2009-05-26",148,13.72,8.92,0.59,1031,18.4,65.12,NA
"SMC00440 2009-05-20",356,7.31,7.42,1.55,2334,13.84,56.912,NA
"SMC00446 2010-07-01",183,6.81,NA,0.67,1245,20.97,69.746,NA
"SMC00457 2009-06-04",204,9.6,8.08,0.79,1560,16.53,61.754,50.1
"SMC00464 2009-05-08",139,8.8,8.47,0.15,266,16.12,61.016,NA
"SMC00473 2009-06-03",352,5.86,7.75,1.052,2908,19.7,67.46,-1.3
"SMC00476 2009-06-08",178,9.02,7.64,0.16,245,10.97,51.746,NA
"SMC00479 2011-07-13",500,16.79,8.4,2.23,4186,18.4,65.12,NA
"SMC00480 2009-05-13",162,8.42,8.16,0.17,287,15.84,60.512,NA
