"","FL_N_F.result","FL_N_M.result","FL_Q_F.result","FL_Q_M.result","FL_F.result","FL_M.result","MWVM_F.result","MWVM_M.result","XWV_F.result","XWV_M.result","PWVZ.result"
"SMC03687 2010-06-02",0.000248457492748387,0.0087741935483871,NA,NA,0.000248457492748387,0.0087741935483871,0.645161290322581,0.196645160991422,0.645161290322581,0.196645160991422,0
"SMC04749 2009-06-23",0.0006512874718,0.023,NA,NA,0.0006512874718,0.023,0.166666666666667,0.050799999922784,0.166666666666667,0.050799999922784,0
"SMC04795 2011-07-14",0.0010194064776,0.036,NA,NA,0.0010194064776,0.036,0.436363636363636,0.133003636161471,0.436363636363636,0.133003636161471,0
"SMC05109 2009-06-23",0.00121633727440909,0.0429545454545455,NA,NA,0.00121633727440909,0.0429545454545455,0.714285714285714,0.21771428538336,0.681818181818182,0.207818181502298,0
"SMC06467 2010-06-28",0.000386138817272727,0.0136363636363636,NA,NA,0.000386138817272727,0.0136363636363636,0.340909090909091,0.103909090751149,0.340909090909091,0.103909090751149,0
"SMC06714 2010-06-06",2.973268893e-05,0.00105,NA,NA,2.973268893e-05,0.00105,0.15,0.0457199999305056,0.15,0.0457199999305056,0
"SMC08845 2009-06-22",0.001132673864,0.04,NA,NA,0.001132673864,0.04,0.25,0.076199999884176,0.25,0.076199999884176,0
"SMC10146 2011-06-28",0.00279584055037975,0.0987341772151899,NA,NA,0.00279584055037975,0.0987341772151899,0.785340314136126,0.239371727384846,0.759493670886076,0.231493670534206,0
"SMC21822 2010-06-21",0.0187015688451496,0.660439670748846,NA,NA,0.0187015688451496,0.660439670748846,0.214224507283633,0.0652956297208021,0.150572174262196,0.045894398645358,0
"SMC24222 2010-06-21",0.030130007713029,1.06403118040089,NA,NA,0.030130007713029,1.06403118040089,0.686184812442818,0.209149130514664,0.556792873051225,0.169710467448053,0
"SMC34888 2010-06-24",0.00254717839022362,0.0899527559055118,NA,NA,0.00254717839022362,0.0899527559055118,0.56,0.170687999740554,0.551181102362205,0.16799999974464,0
"SMCR8_020 2011-07-12",0.0017945173200355,0.0633727810650887,NA,NA,0.0017945173200355,0.0633727810650887,0.443786982248521,0.135266271983744,0.443786982248521,0.135266271983744,0
"SMCR8_026 2009-05-31",0.00095543394396088,0.0337408312958435,NA,NA,0.00095543394396088,0.0337408312958435,0.09765625,0.0297656249547562,0.0814995925020375,0.0248410757568626,0
"SMCR8_131 2009-06-16",9.60365852439e-05,0.0033915,NA,NA,9.60365852439e-05,0.0033915,0.25,0.076199999884176,0.15,0.0457199999305056,0
"SMCR8_179 2009-06-01",0.000972724830056513,0.0343514531754575,NA,NA,0.000972724830056513,0.0343514531754575,0.0932256059664388,0.0284151646553795,0.0807319698600646,0.0246071043759449,0
"SMCR8_196 2009-05-24",0.000490835982497182,0.0173337091319053,NA,NA,0.000490835982497182,0.0173337091319053,0.338218714768884,0.10308906410486,0.338218714768884,0.10308906410486,0
"SMCR8_197 2009-06-04",0.00519955890155172,0.183620689655172,NA,NA,0.00519955890155172,0.183620689655172,0.887573964497041,0.270532543967489,0.862068965517241,0.262758620290262,0
"SMCR8_254 2011-07-19",0.00196862431248,0.0695213114754098,NA,NA,0.00196862431248,0.0695213114754098,0.327868852459016,0.0999344260776079,0.327868852459016,0.0999344260776079,0
"SMCR8_327 2009-06-28",0.00149425821289231,0.0527692307692308,NA,NA,0.00149425821289231,0.0527692307692308,0.810810810810811,0.24713513475949,0.769230769230769,0.234461538105157,0
"SMCR8_333 2009-06-17",0.00116120361922105,0.0410075187969925,NA,NA,0.00116120361922105,0.0410075187969925,0.737100737100737,0.224668304326809,0.451127819548872,0.137503759189491,0
"SMCR8_339 2011-07-25",0.00309482488847008,0.109292709466812,NA,NA,0.00309482488847008,0.109292709466812,0.439882697947214,0.134076246130515,0.326441784548422,0.0994994557791199,0
"SMCR8_404 2011-06-15",0.00641831107898524,0.226660516605166,NA,NA,0.00641831107898524,0.226660516605166,1.1070110701107,0.337416973656868,1.1070110701107,0.337416973656868,0
"SMCR8_407 2010-06-21",0.00017414860659,0.00615,NA,NA,0.00017414860659,0.00615,0.5,0.152399999768352,0.5,0.152399999768352,0
"SMCR8_415 2009-07-08",6.93306018367742e-05,0.00244838709677419,NA,NA,6.93306018367742e-05,0.00244838709677419,0.12,0.0365759999444045,0.0967741935483871,0.0294967741487133,0
"SMCR8_418 2009-06-08",0.00137249080588925,0.0484690553745928,NA,NA,0.00137249080588925,0.0484690553745928,0.325732899022801,0.0992833874712391,0.325732899022801,0.0992833874712391,0
"SMCR8_418 2011-07-13",0.00134132431263158,0.0473684210526316,NA,NA,0.00134132431263158,0.0473684210526316,0.56390977443609,0.171879698986863,0.56390977443609,0.171879698986863,0
"SMCR8_439 2011-06-08",0.00662278879361842,0.233881578947368,NA,NA,0.00662278879361842,0.233881578947368,1.02040816326531,0.311020407690514,0.986842105263158,0.30078947322701,0
"SMCR8_511 2011-06-09",0.004368884904,0.154285714285714,NA,NA,0.004368884904,0.154285714285714,0.740740740740741,0.225777777434596,0.639658848614072,0.194968016761218,0
"SMCR8_521 2011-06-06",0.00473884541048507,0.167350746268657,NA,NA,0.00473884541048507,0.167350746268657,0.597609561752988,0.182151394145441,0.559701492537313,0.170597014666066,0
"SMCR8_549 2011-06-13",0.00154937898948157,0.0547158026233604,NA,NA,0.00154937898948157,0.0547158026233604,0.19723865877712,0.0601183431038864,0.18738288569644,0.0571143034734611,0
